airline,hour,p25,p50,p75,p90
AA,10,-5,-2,7,38
DL,6,-8,-5,-1,9
WN,19,-5,1,20,57
WN,20,-5,1,20,54
UA,17,-6,-1,10,48
DL,9,-6,-3,3,24
WN,9,-4,-2,3,19
UA,11,-6,-3,5,28
UA,21,-7,-2,12,47
DL,22,-6,-2,8,37
UA,15,-6,-2,9,47
AA,17,-5,-1,18,63
DL,8,-6,-4,0,20
WN,5,-5,-3,-1,4
UA,22,-7,-3,5,27
UA,18,-6,-2,11,56
WN,21,-4,3,24,63
DL,11,-6,-3,6,35
AA,0,-7,-4,1,21
AA,21,-4,0,19,59
UA,9,-6,-3,2,23
UA,7,-7,-5,-2,9
DL,15,-6,-1,13,49
AA,9,-6,-3,3,29
DL,5,-9,-5,-1,8
DL,19,-6,-1,18,65
WN,10,-4,-1,5,22
AA,16,-5,-1,16,56
DL,0,-10,-6,0,22
WN,15,-4,1,15,44
DL,13,-6,-2,8,43
DL,17,-7,-2,11,47
WN,18,-4,1,18,51
WN,17,-4,2,18,50
AA,7,-7,-4,-1,16
AA,5,-8,-5,-2,11
DL,20,-6,-1,16,57
UA,16,-6,-2,8,48
DL,1,-10,-7,-1,25
AA,1,-9,-6,1,11
WN,8,-5,-2,1,14
WN,7,-5,-3,0,8
UA,14,-6,-3,7,47
WN,11,-4,-1,7,28
AA,14,-5,-1,13,52
AA,11,-5,-2,8,40
WN,22,-4,4,26,61
UA,8,-7,-4,-1,14
UA,23,-8,-4,3,24
AA,18,-5,0,19,62
AA,23,-6,-2,7,34
UA,0,-7,-3,3,24
DL,10,-7,-3,4,30
DL,21,-6,-2,11,45
DL,3,-4,-3,-2,-1
UA,1,-7,-2,12,48
UA,2,-9,-7,3,23
UA,5,-8,-6,-2,5
AA,22,-5,-1,14,48
UA,13,-6,-3,6,36
AA,13,-5,-2,11,50
WN,23,-4,-1,6,19
DL,23,-7,-3,6,30
AA,12,-5,-1,12,51
DL,18,-6,-1,16,55
DL,14,-6,-2,11,43
WN,13,-4,0,10,33
WN,16,-4,1,17,48
UA,19,-6,-1,14,57
DL,7,-7,-4,0,15
UA,12,-6,-3,4,31
AA,8,-6,-3,1,24
UA,6,-8,-5,-2,6
AA,20,-4,0,19,54
WN,14,-4,0,13,37
AA,19,-5,0,23,69
AA,15,-5,-1,17,61
UA,20,-5,0,17,60
DL,12,-6,-3,8,37
UA,10,-6,-3,3,29
AA,6,-7,-5,-1,10
DL,16,-6,-1,13,50
WN,12,-4,0,9,30
WN,6,-5,-3,-1,5
