airline,hour,p25,p50,p75,p90
WN,18,-4.13,1.28,17.47,50.23
UA,15,-6.08,-2,9.58,48.38
UA,19,-5.6,-0.49,14.12,55.26
DL,10,-6.63,-3.18,4.54,30.83
DL,5,-8.53,-5.26,-1.26,9.33
DL,6,-7.95,-4.71,-0.78,9.5
DL,13,-6.36,-2.4,8.71,42.42
UA,13,-6.09,-2.58,6.15,35.65
DL,19,-6.3,-0.82,18.55,64.22
AA,1,-9,-5.62,1,11
WN,22,-3.65,4.59,26.59,63.08
AA,7,-6.72,-4.06,-0.52,16.83
WN,19,-4.47,1.27,19.81,54.98
UA,7,-7.54,-4.86,-1.51,10.05
DL,8,-6.47,-3.71,0.97,19.88
DL,17,-6.88,-2.47,11.81,49.27
WN,10,-4.44,-1.35,5.15,21.46
AA,16,-4.83,-0.67,16.3,58.16
DL,21,-5.62,-1.7,11.98,46.72
UA,16,-6,-1.93,8.84,51.96
DL,7,-6.88,-3.78,0.17,14.27
DL,9,-6.13,-3.16,2.97,25.75
DL,12,-6.22,-2.43,8.09,38.11
UA,5,-8.05,-5.51,-2.02,5.27
WN,12,-4.07,-0.36,9.23,30.97
DL,11,-6.1,-2.47,6.71,35.04
DL,22,-5.89,-2.18,8.41,39.49
AA,20,-4.38,0.12,19.71,55.95
AA,10,-5.25,-2.12,7.54,38.22
AA,17,-5.17,-0.67,18.51,63.19
UA,9,-6.27,-3.07,3.14,24.43
AA,21,-4.4,-0.08,18.29,58.48
WN,23,-4.21,-0.75,6.35,19.22
AA,14,-4.84,-1.09,14.17,54.7
DL,23,-6.69,-2.59,6.07,30.51
UA,8,-7.01,-4.31,-0.52,15.14
UA,20,-5.24,0.17,18.59,61.75
AA,23,-6.11,-2.14,7.07,33.13
UA,11,-5.85,-2.48,5.36,31.34
AA,0,-6.7,-3.61,1.23,21.07
DL,14,-5.81,-1.72,10.96,45.4
UA,22,-6.57,-2.89,5.41,27.11
AA,19,-5.15,0.37,24.11,69.86
DL,18,-6.2,-1.25,16.1,56.94
UA,18,-5.65,-1.47,11.82,54.66
DL,20,-5.72,-1.04,17.09,57.36
DL,1,-10.12,-6.56,-0.85,25.11
UA,23,-7.94,-4.09,3.06,23.18
UA,10,-6.4,-3.26,3.04,27.93
DL,0,-10.25,-5.88,0.85,22.15
AA,8,-5.99,-3.3,1.46,25.71
AA,18,-4.5,0.42,19.91,63.42
UA,14,-6.21,-2.61,7.54,48.5
UA,17,-5.53,-1.46,10.35,48.96
WN,5,-5.09,-3.23,-0.62,4.02
WN,20,-4.52,1.3,19.17,53.96
AA,5,-7.88,-5.06,-1.59,11.87
UA,21,-6.48,-2.14,11.76,47.42
WN,17,-3.52,2.18,18.42,50.29
WN,13,-3.78,0.28,11.24,34.37
AA,9,-5.64,-2.67,3.28,30.37
AA,12,-4.73,-1.1,12.73,50.48
WN,14,-3.62,0.94,13.89,39.17
DL,15,-5.43,-1.27,13.37,50.23
WN,7,-5.29,-3.22,-0.19,7.82
WN,9,-4.49,-1.66,3.7,18.12
WN,21,-4.31,3.09,24.29,62.97
WN,6,-5.35,-3.39,-0.81,4.59
WN,8,-4.91,-2.36,1.38,13.46
WN,16,-3.66,1.5,15.94,45.76
AA,22,-5.39,-1.42,13.52,46.58
AA,6,-7.31,-4.67,-1.23,11.81
AA,11,-5.18,-1.94,8.12,41.35
WN,15,-3.55,1.48,15.9,44
DL,16,-5.63,-1.16,13.79,50.51
AA,13,-5,-1.32,11.21,51.38
WN,11,-4.31,-0.75,7.17,27.14
UA,1,-7.09,-1.56,11.44,48
UA,6,-8.16,-5.4,-1.85,7.03
DL,3,-4,-3,-2,-1
UA,12,-6.28,-2.92,4.22,31.6
UA,0,-7.17,-3.43,3.37,24.42
AA,15,-4.98,-0.71,17.18,60.61
UA,2,-9,-6.73,2.5,38
