carrier,avg_dep_delay,avg_arr_delay,avg_flight_makeup,arr_delay_stddev,diverted_rate,cancellation_rate,avg_carrier_delay,avg_weather_delay,avg_nas_delay,avg_security_delay,avg_late_aircraft_delay,prediction,pca_x,pca_y
UA,9.027064045146908,2.4649422580736053,-6.52216492977986,47.55686476462573,0.0021221852125177013,0.006861200311147456,3.3567465145501325,0.6052057362825857,3.7980293994455194,0.0007220216606498195,4.438031792887489,2,1.481053178770789,1.144358834459708
NK,9.16741704656119,2.390649952656199,-6.768156700914371,48.27825521899802,0.0013079898700359002,0.014095678067514541,3.127654245401163,0.2845017115186597,6.128711769125873,0.03391033311997328,3.0354409595636325,2,1.9604046712538652,1.6923349604159001
AA,14.588136665195307,8.978681594504442,-5.58602992172793,74.97052577532747,0.0025324469768914213,0.01940681305760671,5.824004625591927,0.990965236996983,2.90320496669703,0.023160261255499352,7.2426949887267345,0,-1.9307904605244863,0.6065291057245297
B6,12.510115321252059,6.144965644820296,-6.332214587737844,56.10896469935154,0.0025383023313330644,0.012340054410788436,4.425575673951811,0.42806190854301446,4.243585905262747,0.026111971675149368,6.975944704059982,0,-0.33410730350507817,1.5990201796828445
DL,10.705387683925098,4.194199735682537,-6.400709753186369,55.11036972768741,0.0018983076587222492,0.009390295218479392,5.80124718813178,0.8839532889762111,2.761582049602779,0.006773794495540559,4.009915493670726,2,0.49927760750128414,0.38415703802771556
OO,11.675029097571937,7.590934645657163,-4.043717172650679,62.920906611437765,0.0024185124067037074,0.014688961894236446,7.796663285543428,2.4260366675245635,2.634354230693534,0.019544910904879417,3.3205872556886136,0,-1.620905757943487,-0.4485547378689478
F9,16.003147985591912,11.316228302887895,-4.618161146062306,71.6515955667149,0.0016220962245338333,0.016712055597720137,5.815185201720315,0.48296798964239473,3.874146167239609,0,10.224712412756523,0,-1.8135995316353568,0.0642808717134914
MQ,8.443324390661568,5.316955706049236,-3.1179417955523014,50.70873038520179,0.001985910023853109,0.02817995229378155,2.999522937815499,1.4985743606812003,2.9678371331891054,0.016608420702279914,4.994508237643535,2,0.3196448650551546,-0.954921060934612
OH,19.777776365138898,17.155741882868647,-2.5979917426984045,82.75485458630583,0.0021371603228425426,0.06090309947944028,6.787668943120493,1.5567004154926214,3.098142222646736,0.030314246143559865,11.368749701513922,0,-5.050784056064526,-1.5258693225422573
HA,6.3463645902148995,5.810751935270549,-0.5164741121095422,37.42413072988024,0.0009981955695473567,0.012055131109148846,4.406150420393903,0.5325373363535147,0.09490536338157946,0.02380312511997543,3.2430606211847812,2,1.9615210443893778,-3.4611772724998264
G4,13.866243529990397,9.53713963752465,-4.305732932669734,78.38727666214241,0.002349875526395384,0.006607570787091971,5.631372001582094,2.019985575021521,4.23066005909588,0.15420767315790698,7.470649822014378,1,-2.661243496854912,1.356451070595621
YX,4.778579767618553,0.6921035046035046,-4.04164501039501,42.21588853315583,0.0016481625704091428,0.022639595747378335,2.818964736565664,0.5269230072627823,3.668782714215855,0.007172223932769456,3.390451524097586,2,2.299519901435007,-0.4209418783295311
AS,5.524954925994773,1.2979798686844648,-4.217776595595749,36.08002338714846,0.0016326530612244899,0.010044967139398132,2.7476997578692495,0.4421169145624351,2.7390383950190245,0.04060878588723625,3.5873123486682807,2,2.5228182461717688,-0.38338046356696986
WN,9.354797606988248,1.7628507861978597,-7.579127083788309,35.2467032163184,0.0015672573445541175,0.011410890866796598,2.5836641488759757,0.2719842645566323,1.9400512838936241,0.023886079701098427,4.784513341895618,2,2.367191091950599,0.3477126751223411
