OP_UNIQUE_CARRIER,num_flights,arrdelay_mean,carrier_delay_mean,weather_delay_mean,nas_delay_mean,security_delay_mean,late_aircraft_delay_mean
OH,78476,17.16,25.98,5.96,11.86,0.12,43.51
F9,65965,11.32,23.05,1.91,15.36,0,40.53
G4,42596,9.54,24.89,8.93,18.7,0.68,33.02
AA,302790,8.98,27.11,4.61,13.51,0.11,33.72
OO,259692,7.59,38.93,12.11,13.15,0.1,16.58
B6,75680,6.14,19.44,1.88,18.64,0.11,30.64
HA,25707,5.81,27.16,3.28,0.58,0.15,19.99
MQ,87416,5.32,15.52,7.75,15.35,0.09,25.84
DL,312503,4.19,31.19,4.75,14.85,0.04,21.56
UA,248433,2.46,18.85,3.4,21.33,0,24.93
