carrier,num_flights,arrdelay_mean,carrier_delay_mean,weather_delay_mean,nas_delay_mean,security_delay_mean,late_aircraft_delay_mean
OH,78476,17.155741882868647,7.244354962026607,1.6614378918395434,3.306590549977063,0.032353840664661807,12.133658698200724
F9,65965,11.316228302887895,5.923792920488138,0.4919881755476389,3.9465019328431743,0,10.415674979155613
G4,42596,9.53713963752465,5.682270635740445,2.0382430275143206,4.26889848812095,0.15560146492628416,7.538172598366044
AA,302790,8.978681594504442,5.954645133590938,1.0131939628125104,2.9683278840120217,0.023679778064004755,7.405158690841837
OO,259692,7.590934645657163,7.9323660336090445,2.468262403154506,2.680205782234339,0.01988509465058608,3.3783828535341867
B6,75680,6.144965644820296,4.492415433403806,0.434526955602537,4.307677061310782,0.026506342494714587,7.0813028541226215
HA,25707,5.810751935270549,4.4644260318201265,0.5395806589644844,0.09616057883066868,0.024117944528727585,3.2859532423075426
MQ,87416,5.316955706049236,3.0928205362862635,1.5451862359293493,3.060149171776334,0.0171250114395534,5.149858149537842
DL,312503,4.194199735682537,5.867482872164428,0.8940458171601553,2.793112386121093,0.006851134229111401,4.055698665292813
UA,248433,2.4649422580736053,3.38717481171986,0.6106918163045972,3.8324578457773324,0.0007285666557985453,4.478261744615248
