opUniqueCarrier,hour,p25,p50,p75,p90
AA,0,-7,-4,1,20
AA,1,-9,-6,1,11
AA,5,-8,-5,-2,10
AA,6,-7,-5,-1,11
AA,7,-7,-4,-1,15
AA,8,-6,-3,1,26
AA,9,-6,-3,3,29
AA,10,-5,-2,6,36
AA,11,-5,-2,8,41
AA,12,-5,-1,13,52
AA,13,-5,-2,11,49
AA,14,-5,-1,14,54
AA,15,-5,-1,17,61
AA,16,-5,-1,15,55
AA,17,-5,-1,18,62
AA,18,-5,0,20,67
AA,19,-5,0,24,72
AA,20,-4,0,19,55
AA,21,-4,0,19,59
AA,22,-5,-2,14,46
AA,23,-6,-2,6,32
DL,0,-10,-6,0,22
DL,1,-10,-7,-1,25
DL,3,-4,-3,-2,-1
DL,5,-8,-5,-1,9
DL,6,-8,-5,-1,9
DL,7,-7,-4,0,14
DL,8,-6,-4,0,18
DL,9,-6,-3,3,26
DL,10,-7,-3,4,30
DL,11,-6,-3,6,35
DL,12,-6,-2,8,39
DL,13,-6,-2,9,42
DL,14,-6,-2,10,44
DL,15,-5,-1,14,51
DL,16,-6,-1,13,51
DL,17,-7,-2,11,49
DL,18,-6,-1,17,61
DL,19,-6,-1,18,63
DL,20,-6,-1,16,56
DL,21,-6,-2,12,46
DL,22,-6,-2,8,42
DL,23,-7,-3,6,30
UA,0,-7,-3,3,24
UA,1,-7,-2,12,48
UA,2,-9,-7,3,23
UA,5,-8,-6,-2,5
UA,6,-8,-5,-2,7
UA,7,-8,-5,-2,10
UA,8,-7,-4,-1,14
UA,9,-6,-3,3,24
UA,10,-6,-3,3,27
UA,11,-6,-2,5,31
UA,12,-6,-3,4,32
UA,13,-6,-3,6,36
UA,14,-6,-2,7,46
UA,15,-6,-2,9,47
UA,16,-6,-2,9,52
UA,17,-6,-2,10,49
UA,18,-6,-2,11,53
UA,19,-6,-1,14,57
UA,20,-5,0,18,60
UA,21,-7,-2,12,49
UA,22,-7,-3,5,25
UA,23,-8,-4,3,23
WN,5,-5,-3,-1,4
WN,6,-5,-4,-1,4
WN,7,-5,-3,0,7
WN,8,-5,-2,1,13
WN,9,-5,-2,3,17
WN,10,-4,-1,5,21
WN,11,-4,-1,8,29
WN,12,-4,0,9,29
WN,13,-4,0,11,35
WN,14,-4,0,13,38
WN,15,-4,1,16,44
WN,16,-4,1,17,48
WN,17,-4,2,18,48
WN,18,-4,1,18,49
WN,19,-5,1,19,55
WN,20,-5,1,20,53
WN,21,-4,3,24,61
WN,22,-4,4,26,62
WN,23,-4,-1,6,18
