opUniqueCarrier,hour,p25,p50,p75,p90
AA,0,-7,-4,1,21
AA,1,-9,-6,1,11
AA,5,-8,-5,-2,11
AA,6,-7,-5,-1,11
AA,7,-7,-4,-1,16
AA,8,-6,-3,1,25
AA,9,-6,-3,3,29
AA,10,-5,-2,7,37
AA,11,-5,-2,8,41
AA,12,-5,-1,12,50
AA,13,-5,-2,11,50
AA,14,-5,-1,13,54
AA,15,-5,-1,17,60
AA,16,-5,-1,16,57
AA,17,-5,-1,18,62
AA,18,-5,0,19,63
AA,19,-5,0,23,70
AA,20,-4,0,19,56
AA,21,-5,0,18,58
AA,22,-5,-2,13,46
AA,23,-6,-2,7,33
DL,0,-10,-6,0,22
DL,1,-10,-7,-1,25
DL,3,-4,-3,-2,-1
DL,5,-8,-5,-1,8
DL,6,-8,-5,-1,9
DL,7,-7,-4,0,14
DL,8,-6,-4,0,19
DL,9,-6,-3,3,26
DL,10,-7,-3,4,30
DL,11,-6,-3,7,35
DL,12,-6,-2,7,38
DL,13,-6,-2,8,42
DL,14,-6,-2,10,45
DL,15,-5,-1,13,50
DL,16,-6,-1,13,50
DL,17,-7,-2,11,49
DL,18,-6,-1,16,56
DL,19,-6,-1,18,63
DL,20,-6,-1,16,57
DL,21,-6,-2,12,46
DL,22,-6,-2,8,39
DL,23,-7,-3,6,31
UA,0,-7,-3,3,24
UA,1,-7,-2,12,48
UA,2,-9,-7,3,23
UA,5,-8,-6,-2,5
UA,6,-8,-5,-2,7
UA,7,-8,-5,-2,9
UA,8,-7,-4,-1,14
UA,9,-6,-3,3,24
UA,10,-6,-3,3,27
UA,11,-6,-3,5,31
UA,12,-6,-3,4,31
UA,13,-6,-3,6,36
UA,14,-6,-3,7,47
UA,15,-6,-2,9,47
UA,16,-6,-2,9,51
UA,17,-6,-2,10,49
UA,18,-6,-2,11,54
UA,19,-6,-1,14,54
UA,20,-5,0,18,60
UA,21,-7,-2,12,47
UA,22,-7,-3,5,26
UA,23,-8,-4,3,24
WN,5,-5,-3,-1,4
WN,6,-5,-3,-1,4
WN,7,-5,-3,0,8
WN,8,-5,-2,1,13
WN,9,-5,-2,3,18
WN,10,-4,-1,5,21
WN,11,-4,-1,7,27
WN,12,-4,0,9,30
WN,13,-4,0,11,35
WN,14,-4,0,13,38
WN,15,-4,1,16,43
WN,16,-4,1,16,46
WN,17,-4,2,19,50
WN,18,-4,1,18,50
WN,19,-5,1,19,55
WN,20,-5,1,20,54
WN,21,-4,3,24,63
WN,22,-4,4,27,64
WN,23,-4,-1,6,19
